annata,anno_copertina,tavole,quadro_immagine,orientamento_quadro,sfondo_mappe,colore_sfondo,modifiche_cartografiche,note
98/99,(99),76,Roma9899T,orizzontale,Grigio,#B7B7B7,"Aumento della superficie cartografata | Nuove tavole: 6, 14, 22, 49, 50, 52, 68, 73, 74 | Tavole con modifiche: 1, 7, 72 | Nuovo inserto centro storico con tavole di dettaglio 34 A e 35 A a sfondo rosa; l'inserto permarrà fino all'annata 08/09","I riferimenti alle tavole modificate seguono la nuova numerazione, per cui: - la tavola 6 del fascicolo 98 diventa la tavola 7 - la tavola 12 del fascicolo 98 diventa la tavola 15 - la tavola 20 del fascicolo 98 diventa la tavola 23 - la tavola 46 del fascicolo 98 diventa la tavola 51 - la tavola63 del fascicolo 98 diventa la tavola 69 - la tavola 67 del fascicolo 98 diventa la tavola 75 | Le tavole 18 e 19 del fascicolo 98 diventano le tavola 13 e 21"
99/00,99/00,77,Roma9900T,orizzontale,Grigio,#B7B7B7,"Aumento della superficie cartografata | Nuova tavola: 60 | Tavole con modifiche: 4, 5, 12, 15, 23, 53, 72, 73 | Ciampino: modifica della superficie cartografica","I riferimenti alle tavole modificate seguono la nuova numerazione, per cui la tavola 60 del fascicolo 99 diventa la tavola 61 | Le tavole 65 e 66 del fascicolo 99 diventano le tavola 59 e 67"
00/01,00/01,79,Roma0001T,orizzontale,Grigio cromatico,#ADBBC8,"Aumento della superficie cartografata | Nuove tavole: 25, 26 | Tavole con modifiche: 22, 55","I riferimenti alle tavole modificate seguono la nuova numerazione, per cui la tavola 25 del fascicolo 99/00 diventa la tavola 27"
01/02,01/02,79,Roma0102T,orizzontale,Grigio cromatico,#ADBBC8,"Tavole con modifiche: 2, 3, 4, 5, 6, 7, 8, 11, 15, 23, 25, 26, 48, 50, 51, 52, 53, 54, 55, 61, 62, 63, 64, 69, 70, 71, 72, 74, 75, 76, 77",
02/03,02/03,81,Roma0203T,orizzontale,Grigio cromatico,#ADBBC8,"Nuove tavole dalla scissione delle tavole 76 e 77: 78, 79","Le tavole 76 e 77 si scindono generando rispettivamente le tavole 78 e 79 | I riferimenti alle tavole modificate seguono la nuova numerazione, per cui la tavola 78 del fascicolo 01/02 diventa la tavola 80"
03/04,03/04,83,Roma0304T,orizzontale,Grigio cromatico,#ADBBC8,"Aumento della superficie cartografata | Nuove tavole :74, 75","I riferimenti alle tavole modificate seguono la nuova numerazione, per cui la tavola 74 del fascicolo 02/03 diventa la tavola 76"
04/05,04,83,Roma0405T,orizzontale,Grigio cromatico,#ADBBC8,"Tavole con modifiche: 1, 8, 9, 14, 15, 18, 19, 21, 23, 24, 28, 30, 33, 35, 45, 48, 49. 50, 51, 52, 57, 60, 61, 73, 79",
05/06,05,83,Roma0506T,orizzontale,Grigio cromatico,#ADBBC8,"Tavole con modifiche: 15, 21, 61, 62",
06/07,06,83,Roma0607T,orizzontale,Grigio cromatico,#ADBBC8,"Tavole con modifiche: 3, 4, 5, 73, 77",
07/08,07,83,Roma0708T,orizzontale,Grigio cromatico,#ADBBC8,,
08/09,08/09,83,Roma0809T,orizzontale,Grigio cromatico,#ADBBC8,"Tavole con modifiche: 4, 12, 77",
09/10,09/10,122,Roma0910T,verticale,Rosa,#FCE5CD,Riarrangiamento completo delle tavole topografiche | Aumento della superficie cartografata,Cartografia completamente rinnovata
10/11,10/11,123,Roma1011T,verticale,Rosa,#FCE5CD,Nuove tavole: 113,
11/12,11/12,123,Roma1112T,verticale,Rosa,#FCE5CD,,
12/13,12/13,126,Roma1213T,verticale,Rosa,#FCE5CD,"Nuove tavole: 21, 60, 117 | Tavole con modifiche: 20",
13/14,13/14,126,Roma1314T,verticale,Rosa,#FCE5CD,,
14/15,14/15,126,Roma1415T,verticale,Rosa,#FCE5CD,,
